Year,Total,Couple type
2014,448271,same-sex
2013,474905,same-sex
2012,457518,same-sex
2011,437380,same-sex
2010,440989,same-sex
2009,429179,same-sex
2008,396744,same-sex
2007,412770,same-sex
2006,394115,same-sex
2005,384629,same-sex
2014,214664,Male-Male
2013,235089,Male-Male
2012,225067,Male-Male
2011,214773,Male-Male
2010,219174,Male-Male
2009,214136,Male-Male
2008,195762,Male-Male
2007,205568,Male-Male
2006,199427,Male-Male
2005,198618,Male-Male
2014,233607,Female-Female
2013,239816,Female-Female
2012,232451,Female-Female
2011,222607,Female-Female
2010,221815,Female-Female
2009,215043,Female-Female
2008,200982,Female-Female
2007,207202,Female-Female
2006,194688,Female-Female
2005,186011,Female-Female